,states,year,quarter,district,trans_counts,amount
12066,telangana,2021,3,rajanna sircilla district,3381445,7695820233
12067,telangana,2021,3,nagarkurnool district,5674815,13208290734
12068,telangana,2021,3,peddapalle district,7647792,15215632332
12069,telangana,2021,3,nirmal district,2881221,7695725936
12070,telangana,2021,3,mahabubabad district,4261138,8803059151
12071,telangana,2021,3,sangareddy district,18758999,33876669678
12072,telangana,2021,3,wanaparthy district,2940519,7211167470
12073,telangana,2021,3,vikarabad district,4239647,8826445970
12074,telangana,2021,3,jagtial district,5294868,13500491630
12075,telangana,2021,3,yadadri bhuvanagiri district,6990011,14856731507
12076,telangana,2021,3,medak district,3824263,7874530430
12077,telangana,2021,3,mahbubnagar district,6305580,13292231448
12078,telangana,2021,3,jaya shankar bhalupally district,3033601,7101185780
12079,telangana,2021,3,warangal urban district,20050897,41422180517
12080,telangana,2021,3,rangareddy district,87884143,1.47772E+11
12081,telangana,2021,3,hyderabad district,262028284,4.79343E+11
12082,telangana,2021,3,suryapet district,7084587,16323643910
12083,telangana,2021,3,jogulamba gadwal district,2868741,7342093817
12084,telangana,2021,3,kamareddy district,4500228,9913123880
12085,telangana,2021,3,mulugu district,1650210,4101683407
12086,telangana,2021,3,medchal malkajgiri district,79514766,1.30838E+11
12087,telangana,2021,3,karimnagar district,10704240,23540118368
12088,telangana,2021,3,mancherial district,7689749,15494076003
12089,telangana,2021,3,siddipet district,7797337,17131036339
12090,telangana,2021,3,khammam district,10938504,25395360624
12091,telangana,2021,4,narayanpet district,2282965,5838076194
12092,telangana,2021,4,nalgonda district,14645444,33883155724
12093,telangana,2021,4,jangaon district,5473214,11362332498
12094,telangana,2021,4,bhadradri kothagudem district,10121890,22567782620
12095,telangana,2021,4,warangal rural district,5340764,11031577613
12096,telangana,2021,4,kumuram bheem asifabad district,2622817,4842428620
12097,telangana,2021,4,nizamabad district,12113902,31740368651
12098,telangana,2021,4,adilabad district,3432958,7165446341
12099,telangana,2021,4,rajanna sircilla district,4250102,9967799307
12100,telangana,2021,4,nagarkurnool district,6870712,16125729170
12101,telangana,2021,4,peddapalle district,9303742,18789687777
12102,telangana,2021,4,nirmal district,3762262,10108069726
12103,telangana,2021,4,mahabubabad district,5140128,10537179557
12104,telangana,2021,4,sangareddy district,23598968,43773604056
12105,telangana,2021,4,wanaparthy district,3681940,8637954228
12106,telangana,2021,4,vikarabad district,5428281,11135599549
12107,telangana,2021,4,jagtial district,6608911,17110347754
12108,telangana,2021,4,yadadri bhuvanagiri district,8618815,18491066294
12109,telangana,2021,4,medak district,4942024,10748306259
12110,telangana,2021,4,mahbubnagar district,7948433,16922744330
12111,telangana,2021,4,jaya shankar bhalupally district,3598414,7906894768
12112,telangana,2021,4,warangal urban district,24530882,50725020757
12113,telangana,2021,4,rangareddy district,111354739,1.88839E+11
12114,telangana,2021,4,hyderabad district,325636475,5.82079E+11
12115,telangana,2021,4,suryapet district,8746371,20490140341
12116,telangana,2021,4,jogulamba gadwal district,3475042,8363108584
12117,telangana,2021,4,kamareddy district,5852557,14019170119
12118,telangana,2021,4,mulugu district,2002635,4656636196
12119,telangana,2021,4,medchal malkajgiri district,98780634,1.64568E+11
12120,telangana,2021,4,karimnagar district,13040240,29149229156
12121,telangana,2021,4,mancherial district,9454805,18941077302
12122,telangana,2021,4,siddipet district,9904471,21996052789
12123,telangana,2021,4,khammam district,13424236,31245204308
12124,telangana,2022,1,narayanpet district,2758911,7151473315
12125,telangana,2022,1,nalgonda district,17014104,39284842781
12126,telangana,2022,1,jangaon district,6272901,13092572661
12127,telangana,2022,1,bhadradri kothagudem district,11205856,25370868702
12128,telangana,2022,1,warangal rural district,6150545,13344851728
12129,telangana,2022,1,kumuram bheem asifabad district,2974932,5793481590
12130,telangana,2022,1,nizamabad district,13749642,33996713436
12131,telangana,2022,1,adilabad district,4070616,8595611705
12132,telangana,2022,1,rajanna sircilla district,4899037,11337042428
12133,telangana,2022,1,nagarkurnool district,8134709,19698635872
12134,telangana,2022,1,peddapalle district,10330840,20671229116
12135,telangana,2022,1,nirmal district,4497647,12055501322
12136,telangana,2022,1,mahabubabad district,5919451,12694323911
12137,telangana,2022,1,sangareddy district,27250369,50754041230
12138,telangana,2022,1,wanaparthy district,4303823,10471886397
12139,telangana,2022,1,vikarabad district,6463353,13753017142
12140,telangana,2022,1,jagtial district,7599529,19792335843
12141,telangana,2022,1,yadadri bhuvanagiri district,9901695,21558326705
12142,telangana,2022,1,medak district,5651890,11841334267
12143,telangana,2022,1,mahbubnagar district,9243634,19752565211
12144,telangana,2022,1,jaya shankar bhalupally district,4079946,9295064924
12145,telangana,2022,1,warangal urban district,27504554,56954288260
12146,telangana,2022,1,rangareddy district,127675017,2.1661E+11
12147,telangana,2022,1,hyderabad district,372711414,6.61513E+11
12148,telangana,2022,1,suryapet district,10201103,23321415933
12149,telangana,2022,1,jogulamba gadwal district,3961470,10094399208
