,states,year,quarter,district,trans_counts,amount
181,andhra-pradesh,2021,1,krishna,29717175,69715406645
182,andhra-pradesh,2021,1,chittoor,29342609,60947491847
183,andhra-pradesh,2021,1,guntur,27445045,64207987853
184,andhra-pradesh,2021,1,east godavari,26190701,60027984988
185,andhra-pradesh,2021,1,spsr nellore,22541428,52210333202
186,andhra-pradesh,2021,1,anantapur,20102957,48353870395
187,andhra-pradesh,2021,1,kurnool,17918524,44941629660
188,andhra-pradesh,2021,1,west godavari,16015685,42124030669
189,andhra-pradesh,2021,1,ysr,15374473,42570919449
190,andhra-pradesh,2021,2,visakhapatnam,54390299,1.14439E+11
191,andhra-pradesh,2021,2,krishna,36370960,90021923050
192,andhra-pradesh,2021,2,chittoor,34344902,73654690122
193,andhra-pradesh,2021,2,guntur,32968819,82356914464
194,andhra-pradesh,2021,2,east godavari,31717908,74604325864
195,andhra-pradesh,2021,2,spsr nellore,30290406,72283071757
196,andhra-pradesh,2021,2,anantapur,25123346,60987487571
197,andhra-pradesh,2021,2,kurnool,21972396,56659287475
198,andhra-pradesh,2021,2,west godavari,20950964,57233116236
199,andhra-pradesh,2021,2,prakasam,19944047,54535328043
200,andhra-pradesh,2021,3,visakhapatnam,69220981,1.36946E+11
201,andhra-pradesh,2021,3,krishna,44828275,1.04418E+11
202,andhra-pradesh,2021,3,chittoor,42628568,89371931753
203,andhra-pradesh,2021,3,guntur,41675093,96525353090
204,andhra-pradesh,2021,3,east godavari,39572714,89380370073
205,andhra-pradesh,2021,3,spsr nellore,34411958,77839676988
206,andhra-pradesh,2021,3,anantapur,30366444,70291248156
207,andhra-pradesh,2021,3,kurnool,26377809,62527453762
208,andhra-pradesh,2021,3,west godavari,26245039,66647238455
209,andhra-pradesh,2021,3,prakasam,24116580,63367713447
210,andhra-pradesh,2021,4,visakhapatnam,82711538,1.5953E+11
211,andhra-pradesh,2021,4,krishna,55489829,1.25015E+11
212,andhra-pradesh,2021,4,chittoor,51119640,1.03986E+11
213,andhra-pradesh,2021,4,guntur,50919286,1.15554E+11
214,andhra-pradesh,2021,4,east godavari,48992531,1.06726E+11
215,andhra-pradesh,2021,4,spsr nellore,41921081,92256405076
216,andhra-pradesh,2021,4,anantapur,36129136,81239787007
217,andhra-pradesh,2021,4,west godavari,33235175,81292461575
218,andhra-pradesh,2021,4,kurnool,31782248,73968947670
219,andhra-pradesh,2021,4,prakasam,27858275,71323060008
220,andhra-pradesh,2022,1,visakhapatnam,88233362,1.7012E+11
221,andhra-pradesh,2022,1,krishna,61826199,1.3969E+11
222,andhra-pradesh,2022,1,chittoor,58561024,1.17901E+11
223,andhra-pradesh,2022,1,guntur,57226996,1.29674E+11
224,andhra-pradesh,2022,1,east godavari,54738830,1.21067E+11
225,andhra-pradesh,2022,1,spsr nellore,47645702,1.04896E+11
226,andhra-pradesh,2022,1,anantapur,40613148,90197023268
227,andhra-pradesh,2022,1,west godavari,37271259,92397939904
228,andhra-pradesh,2022,1,kurnool,35093633,81568420501
229,andhra-pradesh,2022,1,prakasam,31340975,79494373255
230,andhra-pradesh,2022,2,visakhapatnam,101387402,1.93243E+11
231,andhra-pradesh,2022,2,krishna,73525814,1.63998E+11
232,andhra-pradesh,2022,2,chittoor,67507661,1.36435E+11
233,andhra-pradesh,2022,2,guntur,66315749,1.47098E+11
234,andhra-pradesh,2022,2,east godavari,62072845,1.35531E+11
235,andhra-pradesh,2022,2,spsr nellore,54838708,1.21941E+11
236,andhra-pradesh,2022,2,anantapur,46099366,1.02139E+11
237,andhra-pradesh,2022,2,west godavari,44409239,1.07973E+11
238,andhra-pradesh,2022,2,kurnool,40165692,92409350856
239,andhra-pradesh,2022,2,prakasam,36163507,90435082546
240,andhra-pradesh,2022,3,visakhapatnam,97434546,1.81124E+11
241,andhra-pradesh,2022,3,krishna,71051144,1.53771E+11
242,andhra-pradesh,2022,3,chittoor,65751781,1.33054E+11
243,andhra-pradesh,2022,3,guntur,65612317,1.41589E+11
244,andhra-pradesh,2022,3,east godavari,61467134,1.29678E+11
245,andhra-pradesh,2022,3,anantapur,45165363,97735649608
246,andhra-pradesh,2022,3,west godavari,43635951,1.01707E+11
247,andhra-pradesh,2022,3,spsr nellore,42116582,95099325968
248,andhra-pradesh,2022,3,kurnool,39557913,88415335176
249,andhra-pradesh,2022,3,prakasam,35376080,87475230073
250,andhra-pradesh,2022,4,visakhapatnam,103790055,1.85306E+11
251,andhra-pradesh,2022,4,krishna,76526667,1.57826E+11
252,andhra-pradesh,2022,4,guntur,70723763,1.46939E+11
253,andhra-pradesh,2022,4,chittoor,70322534,1.36841E+11
254,andhra-pradesh,2022,4,east godavari,68016055,1.36531E+11
255,andhra-pradesh,2022,4,anantapur,48299601,1.01534E+11
256,andhra-pradesh,2022,4,west godavari,47919930,1.05336E+11
257,andhra-pradesh,2022,4,kurnool,43524766,94667441029
258,andhra-pradesh,2022,4,spsr nellore,42582064,92085916181
259,andhra-pradesh,2022,4,prakasam,37211077,88105031866
260,arunachal-pradesh,2018,1,papum pare,14224,32555848.46
261,arunachal-pradesh,2018,1,west kameng,5787,9540632.547
262,arunachal-pradesh,2018,1,lohit,3747,11496949.55
263,arunachal-pradesh,2018,1,east siang,3286,5533620.186
264,arunachal-pradesh,2018,1,changlang,3195,5380749.415
265,arunachal-pradesh,2018,1,tawang,2334,5055665.023
266,arunachal-pradesh,2018,1,longding,2321,4361531.578
267,arunachal-pradesh,2018,1,west siang,1887,4796675.565
268,arunachal-pradesh,2018,1,lower subansiri,1477,3650727.894
269,arunachal-pradesh,2018,1,namsai,1400,2162984.705
270,arunachal-pradesh,2018,2,papum pare,25363,66520931.2
271,arunachal-pradesh,2018,2,west kameng,10466,25521321.34
272,arunachal-pradesh,2018,2,lohit,6962,20520618.88
273,arunachal-pradesh,2018,2,east siang,6363,15285584.2
274,arunachal-pradesh,2018,2,changlang,6066,13294258.5
275,arunachal-pradesh,2018,2,tawang,5447,13722374.81
276,arunachal-pradesh,2018,2,longding,4634,10271170.17
277,arunachal-pradesh,2018,2,namsai,3230,6271811.328
278,arunachal-pradesh,2018,2,west siang,2579,7610989.567
279,arunachal-pradesh,2018,2,lower siang,2292,2179451.658
280,arunachal-pradesh,2018,3,papum pare,43282,101080479.3
281,arunachal-pradesh,2018,3,west kameng,17026,48528147.45
282,arunachal-pradesh,2018,3,lohit,11595,32702331.66
283,arunachal-pradesh,2018,3,east siang,10539,24885270.77
284,arunachal-pradesh,2018,3,changlang,10162,20494174.95
285,arunachal-pradesh,2018,3,tawang,8715,25733824.99
286,arunachal-pradesh,2018,3,longding,5288,18327334.05
287,arunachal-pradesh,2018,3,namsai,5076,10698272.77
288,arunachal-pradesh,2018,3,west siang,3337,12966152.79
289,arunachal-pradesh,2018,3,tirap,3322,7479257.008
290,arunachal-pradesh,2018,4,papum pare,55224,154875448.2
291,arunachal-pradesh,2018,4,west kameng,25439,89194886.84
292,arunachal-pradesh,2018,4,lohit,14268,40510521.95
293,arunachal-pradesh,2018,4,changlang,13950,32343047.41
294,arunachal-pradesh,2018,4,east siang,12893,34272134.34
295,arunachal-pradesh,2018,4,tawang,11104,35921510.89
296,arunachal-pradesh,2018,4,namsai,7244,17643523.29
297,arunachal-pradesh,2018,4,longding,6581,22545311.85
298,arunachal-pradesh,2018,4,tirap,5725,10811742.67
299,arunachal-pradesh,2018,4,lower dibang valley,4227,10951332.39
300,arunachal-pradesh,2019,1,papum pare,70941,188556716.4
301,arunachal-pradesh,2019,1,west kameng,34289,101333633.7
302,arunachal-pradesh,2019,1,changlang,17589,40239141.67
303,arunachal-pradesh,2019,1,lohit,15896,42834776.78
304,arunachal-pradesh,2019,1,east siang,15621,39284373.05
305,arunachal-pradesh,2019,1,tawang,13102,39489779.14
306,arunachal-pradesh,2019,1,namsai,8600,20065516.62
307,arunachal-pradesh,2019,1,longding,7287,25349462.06
308,arunachal-pradesh,2019,1,tirap,6877,14075747.84
309,arunachal-pradesh,2019,1,lower dibang valley,6314,13738776.18
310,arunachal-pradesh,2019,2,papum pare,86433,246640891.3
311,arunachal-pradesh,2019,2,west kameng,37430,122521180.8
312,arunachal-pradesh,2019,2,lohit,18693,48893746.83
313,arunachal-pradesh,2019,2,changlang,18631,48891048.26
314,arunachal-pradesh,2019,2,east siang,16494,46549881.24
315,arunachal-pradesh,2019,2,tawang,15960,55915834.59
316,arunachal-pradesh,2019,2,namsai,9637,22491356.66
317,arunachal-pradesh,2019,2,west siang,8041,24549832.98
318,arunachal-pradesh,2019,2,tirap,6868,18633793.43
319,arunachal-pradesh,2019,2,longding,6744,23464027.89
320,arunachal-pradesh,2019,3,papum pare,117940,301518075.7
321,arunachal-pradesh,2019,3,west kameng,53939,147186019.9
322,arunachal-pradesh,2019,3,changlang,29218,58354823.44
323,arunachal-pradesh,2019,3,lohit,24505,54539458.21
324,arunachal-pradesh,2019,3,tawang,24097,72221026.28
325,arunachal-pradesh,2019,3,east siang,22611,58040119.96
326,arunachal-pradesh,2019,3,namsai,13453,25507641.02
327,arunachal-pradesh,2019,3,west siang,11889,30014806.82
328,arunachal-pradesh,2019,3,tirap,11249,21737827.19
329,arunachal-pradesh,2019,3,longding,10269,26620415.02
330,arunachal-pradesh,2019,4,papum pare,143272,378838002.3
331,arunachal-pradesh,2019,4,west kameng,66740,198205637.5
332,arunachal-pradesh,2019,4,changlang,33963,71874990.96
333,arunachal-pradesh,2019,4,tawang,30077,91949243.61
334,arunachal-pradesh,2019,4,lohit,29281,67502324.59
335,arunachal-pradesh,2019,4,east siang,26605,72075285.44
336,arunachal-pradesh,2019,4,namsai,18290,32501252.24
337,arunachal-pradesh,2019,4,tirap,16459,38467790.73
338,arunachal-pradesh,2019,4,west siang,14581,39460255.47
339,arunachal-pradesh,2019,4,lower subansiri,11806,29634357.49
340,arunachal-pradesh,2020,1,papum pare,180373,457430754.2
341,arunachal-pradesh,2020,1,west kameng,75363,198712422.2
342,arunachal-pradesh,2020,1,changlang,43858,93461363.59
343,arunachal-pradesh,2020,1,lohit,36985,83701268.27
344,arunachal-pradesh,2020,1,east siang,33743,82011539.43
345,arunachal-pradesh,2020,1,tawang,31865,84425193.42
346,arunachal-pradesh,2020,1,namsai,23112,46444942.96
347,arunachal-pradesh,2020,1,west siang,19728,47929440.73
348,arunachal-pradesh,2020,1,tirap,18369,40877851.79
349,arunachal-pradesh,2020,1,lower subansiri,15770,34273250.72
350,arunachal-pradesh,2020,2,papum pare,221728,535085907.3
351,arunachal-pradesh,2020,2,west kameng,95421,251395972.2
352,arunachal-pradesh,2020,2,changlang,69279,128572448
353,arunachal-pradesh,2020,2,lohit,56541,114730675.5
354,arunachal-pradesh,2020,2,east siang,55680,112693868.8
355,arunachal-pradesh,2020,2,tawang,44499,121561732.2
356,arunachal-pradesh,2020,2,namsai,34972,54870798.31
357,arunachal-pradesh,2020,2,west siang,32777,72790231.05
358,arunachal-pradesh,2020,2,tirap,28830,63497030.84
359,arunachal-pradesh,2020,2,lower dibang valley,26234,42360072.53
360,arunachal-pradesh,2020,3,papum pare,298350,859373863.7
361,arunachal-pradesh,2020,3,west kameng,111029,332812237.8
362,arunachal-pradesh,2020,3,changlang,73842,159158438.9
363,arunachal-pradesh,2020,3,east siang,69710,176323789.9
364,arunachal-pradesh,2020,3,lohit,65889,156523653.2
365,arunachal-pradesh,2020,3,tawang,56016,182137862.7
366,arunachal-pradesh,2020,3,namsai,37019,76484566.53
367,arunachal-pradesh,2020,3,west siang,34295,92449732.96
368,arunachal-pradesh,2020,3,tirap,30046,81539831.53
369,arunachal-pradesh,2020,3,lower dibang valley,27655,63469161.33
370,arunachal-pradesh,2020,4,papum pare,390528,1205917754
371,arunachal-pradesh,2020,4,west kameng,129575,390436113.7
372,arunachal-pradesh,2020,4,east siang,88632,250515095.2
373,arunachal-pradesh,2020,4,changlang,84852,204367875.1
374,arunachal-pradesh,2020,4,lohit,80530,196997836.8
375,arunachal-pradesh,2020,4,tawang,67262,240482254.6
376,arunachal-pradesh,2020,4,namsai,46762,111916731.5
377,arunachal-pradesh,2020,4,west siang,45207,125118193
378,arunachal-pradesh,2020,4,tirap,36124,104709589.7
379,arunachal-pradesh,2020,4,lower dibang valley,33455,81929299.57
380,arunachal-pradesh,2021,1,papum pare,419891,1388723427
381,arunachal-pradesh,2021,1,west kameng,120906,384735272.8
382,arunachal-pradesh,2021,1,east siang,82357,253988360.8
383,arunachal-pradesh,2021,1,changlang,78849,220167765.5
384,arunachal-pradesh,2021,1,lohit,72380,198534806.9
385,arunachal-pradesh,2021,1,tawang,54137,207859088.4
386,arunachal-pradesh,2021,1,namsai,45753,116637630.7
387,arunachal-pradesh,2021,1,west siang,42575,138700637.3
388,arunachal-pradesh,2021,1,lower dibang valley,32427,90709108.52
389,arunachal-pradesh,2021,1,tirap,32043,110593517.1
390,arunachal-pradesh,2021,2,papum pare,552953,1501062555
391,arunachal-pradesh,2021,2,west kameng,164866,482626617.9
392,arunachal-pradesh,2021,2,east siang,106787,286839106.5
393,arunachal-pradesh,2021,2,changlang,105461,264031910.3
394,arunachal-pradesh,2021,2,lohit,99686,230495504.2
395,arunachal-pradesh,2021,2,tawang,70061,251025038
396,arunachal-pradesh,2021,2,namsai,64781,147069902.4
397,arunachal-pradesh,2021,2,west siang,59341,180700138.8
